"studentid","div","std","schoolid","divid","serial","bom","balsakhi","pre_verb","post_verb","pre_math","post_math","male","attrit","bal","numstud","rank","bigschool","pre_tot","post_tot","mid_verb","mid_math","cal","both","mid_tot","balt","vad","vadmid","vadpostmid","rank20","bot_pre_tot","bal_bot_pre_tot","balsakhi_bot_pre_tot","balt_bot_pre_tot","rank20_bot_pre_tot","bal_rank","bal_rank20","bal_numstud","bal_pre_tot","balt_rank","balt_numstud","balt_pre_tot","bal_bigschool","balt_bigschool","balsakhi_bigschool","bal_bigschool_rank20","balt_bigschool_rank20","bal_bigschool_balsakhi","balt_bigschool_balsakhi","bigschool_rank20","schoolvar","bal_schoolvar","balt_schoolvar","balsakhi_schoolvar","bal_schoolvar_rank20","balt_schoolvar_rank20","bal_schoolvar_balsakhi","balt_schoolvar_balsakhi","schoolvar_rank20"
12332,"A",4,101,41010,NA,0,1,23,27,15,30,1,0,1,26,11,0,0.32285735,1.2557781,27,25,0,0,1.0102726,1,0.9329207,0.68741524,0.24550545,1,0.19028439,0.19028439,0.19028439,0.19028439,0.19028439,11,1,26,0.32285735,11,26,0.32285735,0,0,0,0,0,0,0,0,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589
225,"A",3,101,31010,NA,0,0,3,5,1,9,1,0,0,33,2,0,-0.89872146,-0.2918328,3,0,0,0,-0.9594103,0,0.60688865,-0.060688853,0.6675775,1,-0.15831733,0,0,0,-0.15831733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93477833,0,0,0,0,0,0,0,0.93477833
227,"A",3,101,31010,NA,0,0,4,NA,0,NA,1,1,0,33,2,0,-0.89872146,NA,0,0,0,0,-1.1414769,0,NA,-0.24275541,NA,1,-0.15831733,0,0,0,-0.15831733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93477833,0,0,0,0,0,0,0,0.93477833
12364,"A",4,101,41010,NA,0,1,20,14,4,19,1,0,1,26,7,0,-0.36455795,0.077351876,13,4,0,0,-0.7082656,1,0.44190982,-0.34370765,0.7856175,1,0.19028439,0.19028439,0.19028439,0.19028439,0.19028439,7,1,26,-0.36455795,7,26,-0.36455795,0,0,0,0,0,0,0,0,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589,0.9988589
228,"A",3,101,31010,NA,0,0,26,23,24,14,1,0,0,33,29.5,0,1.8929663,1.104011,0,0,0,0,-1.1414769,0,-0.7889552,-3.0344431,2.245488,0,-0.15831733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93477833,0,0,0,0,0,0,0,0
214,"A",3,101,31010,NA,0,0,3,6,1,0,1,0,0,33,2,0,-0.89872146,-0.7773437,6,8,0,0,-0.2918328,0,0.121377766,0.60688865,-0.4855109,1,-0.15831733,0,0,0,-0.15831733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93477833,0,0,0,0,0,0,0,0.93477833
197,"A",3,101,31010,NA,0,0,7,12,20,35,1,0,0,33,18.5,0,0.49712238,1.7108996,18,30,0,0,1.7715884,0,1.2137772,1.274466,-0.060688853,1,-0.15831733,0,0,0,-0.15831733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93477833,0,0,0,0,0,0,0,0.93477833
12359,"A",4,101,41010,NA,0,0,23,37,32,32,1,0,1,26,18,0,1.1575758,1.8449912,28,24,0,0,1.0102726,1,0.68741536,-0.14730322,0.8347186,1,0.19028439,0.19028439,0,0.19028439,0.19028439,18,1,26,1.1575758,18,26,1.1575758,0,0,0,0,0,0,0,0,0.9988589,0.9988589,0.9988589,0,0.9988589,0.9988589,0,0,0.9988589
196,"A",3,101,31010,NA,0,0,17,28,9,15,1,0,0,33,16.5,0,0.43643352,1.4681442,7,22,0,0,0.6185001,0,1.0317106,0.18206659,0.84964406,1,-0.15831733,0,0,0,-0.15831733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93477833,0,0,0,0,0,0,0,0.93477833
221,"A",3,101,31010,NA,0,0,29,20,24,14,1,0,0,33,33,0,2.0750327,0.92194444,NA,NA,0,0,NA,0,-1.1530883,NA,NA,0,-0.15831733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93477833,0,0,0,0,0,0,0,0
